,Grid_X,Grid_Y,Density
6201,63.0,2.0,0.0
6202,63.0,3.0,0.0
6203,63.0,4.0,0.0
6204,63.0,5.0,0.0
6205,63.0,6.0,0.0
6206,63.0,7.0,0.0
6207,63.0,8.0,0.0
6208,63.0,9.0,0.0
6209,63.0,10.0,0.0
6210,63.0,11.0,0.0
6211,63.0,12.0,0.0
6212,63.0,13.0,0.0
6213,63.0,14.0,0.0
6214,63.0,15.0,0.0
6215,63.0,16.0,0.0
6216,63.0,17.0,0.0
6217,63.0,18.0,0.0
6218,63.0,19.0,0.0
6219,63.0,20.0,0.0
6220,63.0,21.0,0.0
6221,63.0,22.0,0.0
6222,63.0,23.0,0.0
6223,63.0,24.0,0.0
6224,63.0,25.0,0.0
6225,63.0,26.0,0.0
6226,63.0,27.0,0.0
6227,63.0,28.0,0.0
6228,63.0,29.0,0.0
6229,63.0,30.0,0.0
6230,63.0,31.0,0.0
6231,63.0,32.0,
6232,63.0,33.0,
6233,63.0,34.0,0.0
6234,63.0,35.0,0.0
6235,63.0,36.0,0.0
6236,63.0,37.0,0.0
6237,63.0,38.0,0.0
6238,63.0,39.0,0.0
6239,63.0,40.0,0.0
6240,63.0,41.0,0.0
6241,63.0,42.0,0.0
6242,63.0,43.0,0.0
6243,63.0,44.0,0.0
6244,63.0,45.0,0.0
6245,63.0,46.0,0.0
6246,63.0,47.0,0.0
6247,63.0,48.0,0.0
6248,63.0,49.0,0.0
6249,63.0,50.0,0.0
6250,63.0,51.0,0.0
6251,63.0,52.0,0.0
6252,63.0,53.0,0.0
6253,63.0,54.0,0.0
6254,63.0,55.0,0.0
6255,63.0,56.0,0.0
6256,63.0,57.0,0.0
6257,63.0,58.0,0.0
6258,63.0,59.0,0.0
6259,63.0,60.0,0.0
6260,63.0,61.0,0.0
6261,63.0,62.0,0.0
6262,63.0,63.0,0.0
6263,63.0,64.0,0.0
6264,63.0,65.0,0.0
6265,63.0,66.0,0.0
6266,63.0,67.0,0.0
6267,63.0,68.0,0.0
6268,63.0,69.0,0.0
6269,63.0,70.0,0.0
6270,63.0,71.0,0.0
6271,63.0,72.0,0.0
6272,63.0,73.0,0.0
6273,63.0,74.0,0.0
6274,63.0,75.0,0.38147348061634534
6275,63.0,76.0,
6276,63.0,77.0,
6277,63.0,78.0,0.008107355884149082
6278,63.0,79.0,0.0
6279,63.0,80.0,
6280,63.0,81.0,
6281,63.0,82.0,0.0
6282,63.0,83.0,0.0
6283,63.0,84.0,0.0
